rowid,match_id,hunter,bounty,hunter_time,bounty_time,winner_is_hunter
205,4f2488ee-38ab-4402-b5d2-55f0a2f0b5b8,4814,6364,1079,479,0
206,5cc78f13-ba7f-48fa-8b94-23fa64487f81,8606,1842,470,426,0
207,b0c13204-263f-4137-b52e-76c18cea8662,3415,6040,118,410,1
208,48361add-05f6-4015-954c-3fc5227bdf97,0312,6170,487,694,1
209,e0daf1f3-173f-4327-bd82-3da4d00dcb4d,3823,5222,60,150,1
210,8817215a-152d-4f51-a7ef-15b23253d54c,0171,2640,367,301,0
211,e1e8aa06-4b1c-4f84-847e-ca243bb2c49e,8606,0431,421,836,1
212,9ac819c5-1da5-4b0f-afda-fd3c190a16d9,3415,2270,131,397,1
213,9b5111fc-c189-4c72-bb63-71b87fc47eb0,4789,5222,1370,649,0
214,6130911b-af62-44b3-9fa8-d9b748e80b6a,3415,7322,24,411,1
215,679dd924-0e44-40d5-ab10-d790b0972255,5663,4842,494,379,0
216,8851b8e7-a3ef-47be-9045-cd623aeff35f,5499,9448,752,167,0
217,736a7e30-3501-4bae-b99f-cd32bad49fd1,4789,5222,364,866,1
218,74d9961b-459c-4d0c-a7d0-86b1ce69697a,2176,5196,664,565,0
219,b67c26de-49ab-4bea-90df-7432ec2a5dc0,3415,8527,258,263,1
220,9e5d6a57-e00b-4298-8231-2792b5aeaeb4,5663,6127,448,88,0
221,c8cb1dca-c066-47ec-98f5-f8487dc6941d,7379,8035,538,327,0
222,d67e7cc2-4fd3-4e17-8d35-f811402217c9,7379,9246,338,149,0
223,540d1f28-7ecf-4a40-b6b6-3c94666e4d3a,7379,9637,538,439,0
224,d90caed3-b526-452f-b53d-81aa330f3842,9155,9090,418,629,1
225,ed97dc66-716f-4f4c-8a25-cf0871808517,3415,9090,95,315,1
226,0b32b986-e578-4a20-92b0-2907e31fa7bb,5663,5276,337,552,1
227,94a67a05-cc94-492e-9f4f-f38849583947,8606,6735,205,352,1
228,afae3b2a-46a0-4bf2-ac7d-975eafda8652,1995,9246,396,68,0
229,465f268f-8073-4aea-ae5a-4bc5dfacefc2,1995,6153,412,1021,1
230,0aac2a70-0c94-46b2-ba3c-d860172ec60e,1995,1222,375,986,1
231,4f24b185-38ab-4b6e-b5d2-4afca2f04bb4,0436,2097,322,1098,1
232,3954f0ed-a14f-4b56-b377-88fcb77ad9e3,0436,4163,326,510,1
233,f291e4d9-0b6e-4ce9-aed3-455bc7490694,0436,3841,479,911,1
234,1cf5b4af-81bd-4d8d-8c12-bb7cde390029,0436,1911,373,627,1
235,85112da0-124a-4f7a-b155-4ae1405ff778,0436,9637,290,303,1
236,1cf5284a-81bd-4a6d-8c12-7a1bde390924,3578,8450,514,366,0
237,39549a80-a14f-45f5-b377-4db8b77a3363,3578,1800,894,863,0
238,4e7ee129-871d-428d-8358-3830888f8828,3415,1749,81,473,1
239,68972bee-092c-4083-86e4-d6f7073ff0bc,8606,6170,424,566,1
240,175b2530-3c2c-4e06-9c06-4d0fe015a6b6,6193,9880,943,836,0
241,74d933c3-459c-4620-a7d0-1a04ce698f02,6785,9880,388,464,1
242,0d668f7b-a3f0-43dc-95ab-87a9e3fae5bd,8474,1911,924,244,0
243,41ff64f7-2827-4bfe-baa9-10513205b612,3415,1911,47,346,1
244,688c9c1f-cb09-4aca-bd9d-96780bbec7ac,8606,6735,317,579,1
245,0882db75-ec8e-48d3-b7f1-aa681a1d2f63,0436,9549,151,320,1
246,3d2030a0-ca4d-45fc-a8e7-b48e9486cf80,8606,3594,524,1259,1
247,17a5adf1-29b6-434e-b72a-914ebbc659fe,5663,4163,415,352,0
248,e5109125-8a06-4959-8e42-6e72c80e5387,4321,9549,722,376,0
249,f02141b6-8a3c-476c-9791-6dccd48266d7,2584,0431,1030,621,0
250,6f094ae1-37ac-4e5c-8cdd-7dfea930a177,0436,3594,42,815,1
251,09fa65da-4a95-41b2-87b0-0f07f1e75e95,8606,9890,388,834,1
252,74d9e25b-459c-4fc1-a7d0-3e79ce6930a1,3823,4620,311,1079,1
253,8097d676-d730-4064-a466-22f855d4b41d,0436,2270,1171,364,0
254,6d6ecc85-389c-427b-a5a0-6a37936f8f15,8606,8450,631,1065,1
255,babd02fb-c7e7-4918-91ba-adabd4755f90,3518,6735,412,528,1
256,c67cd885-2cfe-41d3-96f2-bcd6a6fac66a,3415,0636,206,711,1
257,e0da5f07-173f-4dc7-bd82-eb1ad00dc11b,2584,4620,700,422,0
258,9a482f6d-d00c-4edc-b76b-f22df66f5a42,0436,6735,60,163,1
259,175b297a-3c2c-4296-9c06-1ab0e01512eb,3823,3594,391,1359,1
260,4f246b70-38ab-428f-b5d2-1d83a2f0ff8c,6193,0431,716,331,0
261,42ade94b-d633-4c47-afb1-88dc0482d692,3415,7322,41,372,1
262,e352d963-327b-4974-a27d-9fbfc6beca56,8606,3956,392,422,1
263,d05808db-a0a3-404e-ba30-3c62167f729e,3518,6735,472,385,0
264,fce84757-f5e7-4d9e-9ee9-4c0d581839d6,0436,3594,557,343,0
265,8d451296-924d-4884-91a9-e13d5515b170,8606,3955,396,1084,1
266,fab15fd2-ebb8-46b5-af6a-9171180b6989,3415,2128,73,873,1
267,53301607-322a-4968-9dd3-2ac98d3ad07f,0436,9090,993,419,0
268,a74570a7-02fe-4d02-b319-903ed939f0c1,0436,7580,424,202,0
269,8985199c-47c5-4ea8-994b-deb14f5407c8,3671,7580,792,189,0
270,5e869fa8-d519-4840-bd7f-c787c979bd1d,0171,8187,212,739,1
271,175b6d02-3c2c-4f96-9c06-955ae015f0b4,6785,7580,515,224,0
272,13d795e9-240c-47a0-a034-07b9e61b1cdc,9554,9890,399,543,1
273,c2c9e8e1-a360-44d4-909f-aa425413b4e7,3415,4620,130,433,1
274,bfb36ac6-962a-4f4e-9478-4ccdb6967dde,6785,9880,351,340,0
275,5f786904-8188-4b61-bdc3-c653192f56d5,3415,3594,152,370,1
276,29212eef-90fe-4c2d-9ed2-cccf7705bc21,8606,1960,314,395,1
277,0ed71db3-ca3d-4dd6-a505-dc873cfbf349,4321,1639,305,470,1
278,f021d8bc-8a3c-4455-9791-584cd4821544,2529,6735,396,254,0
279,ccbb2f87-9dd8-412d-86dd-560453ea6250,8606,8527,909,245,0
280,885176e2-a3ef-495d-9045-4d2d3aef3a1f,3656,6735,1499,900,0
281,03535a23-75fd-438b-bc3a-6a897cee0107,3415,5024,162,331,1
282,5048cdfb-f22e-48df-afca-3e29fb5757ea,3415,4163,83,402,1
283,f0944c4e-d8c0-4c60-92e8-68112c37926b,5663,9246,353,975,1
284,9af5cdbd-b9a3-4fd1-abcc-c6fc8fcc4c3f,5663,6040,542,1880,1
285,e5b2a4ae-9317-4458-9b30-10f09eed2ab2,8606,6735,204,424,1
286,40c312aa-03f1-4d33-87fe-0b47057ccdea,3656,1911,234,552,1
287,89851d60-47c5-4617-994b-c33e4f54c6da,9155,9880,434,1206,1
288,d90c3d67-b526-4cff-b53d-3d06330f0de4,4814,6153,1022,1784,1
289,898507c9-47c5-44c5-994b-d9134f541575,6193,6153,573,947,1
290,ff454b91-b5e7-43f5-8c57-e5e8431ae911,4321,0644,328,427,1
291,e510bfab-8a06-498b-8e42-5dc0c80e8f1e,7379,3955,439,1350,1
292,f0216849-8a3c-42cf-9791-ddb4d482295a,5635,3890,895,1499,1
293,e0da0426-173f-44bb-bd82-eb3fd00d2567,5635,3956,685,409,0
294,4541fe29-c869-4470-9595-145c9e152ab8,3415,1960,121,481,1
295,93923d18-db78-4469-a642-62148ef4b66a,5499,3956,344,3180,1
296,1520d379-a69e-4a6c-acde-0094bb890f62,8606,9303,455,232,0
297,4f24b38c-38ab-435a-b5d2-75f5a2f0a27c,6559,0644,418,120,0
298,7c89a82e-be85-481f-a653-f39bc4cabc52,9554,9890,1069,376,0
299,28bbf8e7-4876-4841-8c4a-1583e68194cc,9554,7580,289,216,0
300,3954dbc1-a14f-4c14-b377-7636b77acc04,6193,7580,796,460,0
301,74d94678-459c-497a-a7d0-52cbce692e6d,6832,7580,514,238,0
302,8ff47846-e240-4a96-b58f-6dfa556650aa,2654,7580,946,266,0
303,155d668e-1431-4810-be40-8ea8a77bf5f1,3518,0431,390,611,1
304,dbd12de0-3032-429d-b1bc-8b34d04e1c2b,8606,4959,287,682,1
305,6ca62c19-e98b-48fe-bb20-18ae5acf8f99,3656,3594,1037,538,0
306,873b3aeb-4e71-4183-b800-c4d000435178,3518,4302,385,153,0
307,fefa14fd-c979-4197-a193-1aa244bee70f,6330,7580,458,239,0
308,d67e29fe-4fd3-4355-8d35-31cd402276cd,0312,6170,677,244,0
309,540d4119-7ecf-415a-b6b6-daf1666e5eac,0312,9246,4635,100,0
310,c253b483-557e-415c-a279-09369a8f4574,3415,5049,84,419,1
311,95762b3b-f48b-4378-a1f4-4eddf34d9416,3415,9246,142,291,1
312,763aac9b-b747-4921-9553-1602e4fe5d86,3415,1194,15,691,1
313,6204b1ad-82e7-447a-a1e6-8877600cc536,3518,6153,383,988,1
314,e510f99c-8a06-4ef0-8e42-614cc80e87c3,0312,4959,1477,626,0
315,ab937c2d-5f02-4c1a-b6a5-1691d7c8b9d5,8606,9549,213,477,1
316,8851890e-a3ef-4b4f-9045-c1d33aefcba1,0231,1749,91,288,1
317,40c3751d-03f1-4cf2-87fe-a9e9057c98d7,0231,9246,496,167,0
318,3512629a-64b5-457d-b03b-ad67145fcec2,4261,4063,1247,485,0
319,0ed7763c-ca3d-4a84-a505-4d533cfb527f,0312,8842,1022,1031,1
320,27050015-8b08-479b-89f9-057aad293e70,3415,9303,55,91,1
321,40b2b00d-afac-4ed2-8f5d-8449fb2bf225,3415,8187,116,932,1
322,b7b9c6a4-ccb7-44e9-872a-0bdc04e9009d,4261,4665,556,330,0
323,74d9efab-459c-40a4-a7d0-9e5fce69a739,5635,0644,331,279,0
324,4f245a05-38ab-4809-b5d2-534da2f029a8,7428,2640,256,199,0
325,6ca6c5eb-e98b-4deb-bb20-95ef5acfd122,0231,9303,131,67,0
326,dfb44541-5620-4169-b627-c12585d19e01,4789,5222,496,88,0
327,34049bcb-9ee9-4cb9-a707-5dcf5849c793,4540,5222,1153,350,0
328,2ee5bb4f-baca-4df1-b71d-869bc116b259,8722,5222,363,76,0
329,eea54717-f668-49ba-9a57-d065cbf13992,4789,5222,340,237,0
330,11370801-704a-4466-acb4-b2dcd281bf8c,4789,5222,635,1272,1
331,51c4e935-3d98-43fa-9d8d-47c0a6623c7c,4540,5222,165,31,0
332,5ed2205c-62c1-4bde-b7c3-783ab2091463,8606,5222,195,233,1
333,5fba3849-5e2e-43ae-ac4b-75e2179f99d6,3415,8527,138,337,1
